"nr_caf";"categoria_renda";"ds_tipo_renda";"ds_produto";"vl_renda_auferida";"vl_renda_estimada"
2175;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;APOSENTADORIA POR IDADE - RURAL;39468.00;39468.00
2175;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;PENSAO POR MORTE PREVIDENCIARIA;19734.00;19734.00
2177;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Feijão;350.00;350.00
2177;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Milho;140.00;140.00
2177;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Bovinos - Corte;3000.00;3000.00
2177;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Suinocultura Não Integrada - Carne;800.00;800.00
2177;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Programa Bolsa Família;7200.00;7200.00
2178;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho em Grão - Kg;50000.00;50000.00
2178;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Soja em Grão - Kg;213943.57;213943.57
2178;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Trigo em Grão - Kg;50000.00;50000.00
2178;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Aposentadoria Rural;36712.00;36712.00
2179;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Avicultura não integrada Carne;75.00;75.00
2179;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Outras Lavouras Temporarias;300.00;300.00
2179;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Ovos;688.00;688.00
2179;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Outras Frutas Lavoura Permanente;72.00;72.00
2179;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Feijão;600.00;600.00
2179;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;770.00;770.00
2179;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Produção Animal;Suinocultura Não Integrada - Carne;400.00;400.00
2179;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Programa Bolsa Família;3380.00;3380.00
2182;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Feijão;1200.00;1200.00
2182;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;800.00;800.00
2182;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Aposentadoria Rural;18000.00;18000.00
2183;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Soja;37581.00;37581.00
2184;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Outras Frutas Lavoura Permanente;25000.00;25000.00
2184;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Outras Lavouras Temporarias;20000.00;20000.00
2184;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Maricultura e Aquicultura;Piscicultura;1000.00;1000.00
2184;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Aposentadoria ou pensão servidor público;14300.00;14300.00
2184;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Aposentadoria Rural;14300.00;14300.00
